gene_id	locus	CDS_length	strand
ENSSHAG00000017241	A:9675049-9675942	894	+
ENSSHAG00000004868	A:9675943-9677778	1836	-
ENSSHAG00000021334	A:9677779-9678354	576	+
ENSSHAG00000010850	A:9678355-9679806	1452	+
ENSSHAG00000014205	A:9679807-9681354	1548	-
ENSSHAG00000014521	A:9681355-9687261	5907	+
ENSSHAG00000015169	A:9687262-9689400	2139	-
ENSSHAG00000015365	A:9689401-9692937	3537	+
ENSSHAG00000015706	A:9692938-9694677	1740	-
ENSSHAG00000029176	A:9694678-9696369	1692	+
ENSSHAG00000025711	A:9696370-9697353	984	-
ENSSHAG00000001514	A:9697354-9699504	2151	+
ENSSHAG00000026383	A:9699505-9701487	1983	-
ENSSHAG00000030901	A:9701488-9702168	681	+
ENSSHAG00000023735	A:9702169-9702555	387	+
ENSSHAG00000025472	A:9702556-9703368	813	-
ENSSHAG00000032048	A:9703369-9703908	540	+
ENSSHAG00000022472	A:9703909-9704766	858	+
ENSSHAG00000025293	A:9704767-9705027	261	-
ENSSHAG00000002853	A:9705028-9707394	2367	+
ENSSHAG00000005562	A:9707395-9710085	2691	+
ENSSHAG00000000849	A:9710086-9711216	1131	+
ENSSHAG00000004494	A:9711217-9713502	2286	-
ENSSHAG00000007386	A:9713503-9716514	3012	+
ENSSHAG00000031592	A:9716515-9717006	492	+
ENSSHAG00000021085	A:9717007-9717393	387	+
ENSSHAG00000026090	A:9717394-9722109	4716	-
ENSSHAG00000017297	A:9722110-9723777	1668	-
ENSSHAG00000017583	A:9723778-9725418	1641	+
ENSSHAG00000021187	A:9725419-9725727	309	-
ENSSHAG00000017615	A:9725728-9726861	1134	+
ENSSHAG00000030762	A:9726862-9728562	1701	+
ENSSHAG00000021698	A:9728563-9730053	1491	+
ENSSHAG00000004788	A:9730054-9731298	1245	-
ENSSHAG00000004996	A:9731299-9732774	1476	+
ENSSHAG00000029126	A:9732775-9733893	1119	+
ENSSHAG00000022748	A:9733894-9734136	243	-
ENSSHAG00000021146	A:9734137-9735123	987	+
ENSSHAG00000027547	A:9735124-9735963	840	-
ENSSHAG00000007082	A:9735964-9738225	2262	+
ENSSHAG00000007639	A:9738226-9738693	468	+
ENSSHAG00000008082	A:9738694-9741156	2463	-
ENSSHAG00000026555	A:9741157-9741984	828	+
ENSSHAG00000009878	A:9741985-9743187	1203	-
ENSSHAG00000024200	A:9743188-9745494	2307	+
ENSSHAG00000011870	A:9745495-9746916	1422	-
ENSSHAG00000012214	A:9746917-9749055	2139	+
ENSSHAG00000012367	A:9749056-9750126	1071	-
ENSSHAG00000013695	A:9750127-9751452	1326	-
ENSSHAG00000014999	A:9751453-9752925	1473	-
ENSSHAG00000028793	A:9752926-9753540	615	-
ENSSHAG00000031613	A:9753541-9754776	1236	+
ENSSHAG00000016129	A:9754777-9758703	3927	-
ENSSHAG00000020554	A:9758704-9759123	420	+
ENSSHAG00000016893	A:9759124-9760539	1416	-
ENSSHAG00000023550	A:9760540-9760950	411	-
ENSSHAG00000029697	A:9760951-9761238	288	-
ENSSHAG00000025173	A:9761239-9761748	510	-
ENSSHAG00000017780	A:9761749-9763098	1350	-
ENSSHAG00000028092	A:9763099-9763755	657	+
ENSSHAG00000017943	A:9763756-9766704	2949	+
ENSSHAG00000017992	A:9766705-9768303	1599	-
ENSSHAG00000029322	A:9768304-9768774	471	+
ENSSHAG00000018012	A:9768775-9773016	4242	+
ENSSHAG00000023868	A:9773017-9774069	1053	-
ENSSHAG00000029245	A:9774070-9774579	510	+
ENSSHAG00000027019	A:9774580-9776376	1797	+
ENSSHAG00000031624	A:9776377-9778098	1722	-
ENSSHAG00000018304	A:9778099-9779904	1806	+
ENSSHAG00000018328	A:9779905-9786666	6762	-
ENSSHAG00000018398	A:9786667-9787260	594	-
ENSSHAG00000018445	A:9787261-9789744	2484	+
ENSSHAG00000018569	A:9789745-9795015	5271	+
ENSSHAG00000025770	A:9795016-9795564	549	-
ENSSHAG00000018714	A:9795565-9796350	786	+
ENSSHAG00000018764	A:9796351-9797058	708	+
ENSSHAG00000021665	A:9797059-9799092	2034	-
ENSSHAG00000018805	A:9799093-9801093	2001	+
ENSSHAG00000028523	A:9801094-9802194	1101	-
ENSSHAG00000021401	A:9802195-9802545	351	-
ENSSHAG00000018886	A:9802546-9804153	1608	+
ENSSHAG00000018550	A:9804154-9805737	1584	-
ENSSHAG00000022376	A:9805738-9807033	1296	+
ENSSHAG00000003508	A:9807034-9808449	1416	-
ENSSHAG00000003982	A:9808450-9810399	1950	+
ENSSHAG00000004595	A:9810400-9811821	1422	-
ENSSHAG00000005465	A:9811822-9812865	1044	-
ENSSHAG00000031948	A:9812866-9816249	3384	+
ENSSHAG00000008828	A:9816250-9817680	1431	-
ENSSHAG00000025570	A:9817681-9818943	1263	-
ENSSHAG00000009654	A:9818944-9820383	1440	-
ENSSHAG00000009817	A:9820384-9823413	3030	+
ENSSHAG00000010401	A:9823414-9825063	1650	-
ENSSHAG00000011576	A:9825064-9826995	1932	+
ENSSHAG00000011829	A:9826996-9831075	4080	-
ENSSHAG00000012415	A:9831076-9832485	1410	-
ENSSHAG00000022176	A:9832486-9833430	945	-
ENSSHAG00000025941	A:9833431-9834309	879	-
ENSSHAG00000013196	A:9834310-9836640	2331	+
ENSSHAG00000013565	A:9836641-9838137	1497	-
ENSSHAG00000014485	A:9838138-9838905	768	-
ENSSHAG00000020633	A:9838906-9840099	1194	+
ENSSHAG00000015823	A:9840100-9841752	1653	-
ENSSHAG00000017447	A:9841753-9847179	5427	-
ENSSHAG00000018199	A:9847180-9854247	7068	-
ENSSHAG00000018555	A:9854248-9857568	3321	+
ENSSHAG00000031022	A:9857569-9858261	693	-
ENSSHAG00000018732	A:9858262-9858999	738	+
ENSSHAG00000026666	A:9859000-9861195	2196	+
ENSSHAG00000022283	A:9861196-9863331	2136	+
ENSSHAG00000018776	A:9863332-9865509	2178	-
ENSSHAG00000018809	A:9865510-9866871	1362	+
ENSSHAG00000018865	A:9866872-9869634	2763	-
ENSSHAG00000018933	A:9869635-9869952	318	-
ENSSHAG00000022192	A:9869953-9870522	570	-
ENSSHAG00000023602	A:9870523-9870957	435	-
ENSSHAG00000000507	A:9870958-9872292	1335	-
ENSSHAG00000004140	A:9872293-9872964	672	+
ENSSHAG00000004414	A:9872965-9874803	1839	-
ENSSHAG00000005559	A:9874804-9880416	5613	-
ENSSHAG00000006979	A:9880417-9882129	1713	+
ENSSHAG00000007511	A:9882130-9883239	1110	-
ENSSHAG00000022817	A:9883240-9883452	213	-
ENSSHAG00000008726	A:9883453-9885351	1899	+
ENSSHAG00000008798	A:9885352-9886884	1533	-
ENSSHAG00000009234	A:9886885-9887820	936	-
ENSSHAG00000022944	A:9887821-9888132	312	+
ENSSHAG00000009966	A:9888133-9892173	4041	+
ENSSHAG00000012697	A:9892174-9893433	1260	+
ENSSHAG00000023591	A:9893434-9894573	1140	+
ENSSHAG00000021938	A:9894574-9895296	723	+
ENSSHAG00000015291	A:9895297-9896172	876	-
ENSSHAG00000016552	A:9896173-9898296	2124	-
ENSSHAG00000016643	A:9898297-9899760	1464	+
ENSSHAG00000016832	A:9899761-9901278	1518	+
ENSSHAG00000016983	A:9901279-9902160	882	-
ENSSHAG00000017158	A:9902161-9903618	1458	-
ENSSHAG00000017692	A:9903619-9905892	2274	-
ENSSHAG00000030692	A:9905893-9907143	1251	+
ENSSHAG00000017955	A:9907144-9907908	765	+
ENSSHAG00000018032	A:9907909-9911832	3924	+
ENSSHAG00000018187	A:9911833-9912267	435	+
ENSSHAG00000018161	A:9912268-9912567	300	-
ENSSHAG00000024604	A:9912568-9917277	4710	+
ENSSHAG00000018459	A:9917278-9919875	2598	+
ENSSHAG00000022250	A:9919876-9920859	984	-
ENSSHAG00000008030	A:9920860-9924090	3231	+
ENSSHAG00000022361	A:9924091-9925749	1659	-
ENSSHAG00000010275	A:9925750-9926712	963	+
ENSSHAG00000010446	A:9926713-9929025	2313	-
ENSSHAG00000012167	A:9929026-9931446	2421	-
ENSSHAG00000012833	A:9931447-9935946	4500	+
ENSSHAG00000013668	A:9935947-9939498	3552	+
ENSSHAG00000013927	A:9939499-9940896	1398	-
ENSSHAG00000014493	A:9940897-9942042	1146	+
ENSSHAG00000015097	A:9942043-9943767	1725	-
ENSSHAG00000015311	A:9943768-9944505	738	+
ENSSHAG00000015711	A:9944506-9945357	852	-
ENSSHAG00000016030	A:9945358-9947757	2400	-
ENSSHAG00000016338	A:9947758-9948594	837	+
ENSSHAG00000030360	A:9948595-9949638	1044	-
ENSSHAG00000003232	A:9949639-9951156	1518	-
ENSSHAG00000003614	A:9951157-9952620	1464	+
ENSSHAG00000008587	A:9952621-9953679	1059	-
ENSSHAG00000010229	A:9953680-9955722	2043	+
ENSSHAG00000012129	A:9955723-9958155	2433	+
ENSSHAG00000012475	A:9958156-9959154	999	+
ENSSHAG00000013763	A:9959155-9961089	1935	+
ENSSHAG00000020528	A:9961090-9961638	549	+
ENSSHAG00000001653	A:9961639-9964602	2964	-
ENSSHAG00000008715	A:9964603-9965244	642	+
ENSSHAG00000029090	A:9965245-9965634	390	-
ENSSHAG00000010738	A:9965635-9966987	1353	-
ENSSHAG00000032185	A:9966988-9967197	210	-
ENSSHAG00000004894	A:9967198-9968364	1167	-
ENSSHAG00000002154	A:9968365-9969681	1317	-
ENSSHAG00000003650	A:9969682-9991011	21330	+
ENSSHAG00000008174	A:9991012-9992682	1671	-
ENSSHAG00000001474	A:9992683-9994506	1824	-
ENSSHAG00000009220	A:9994507-9997311	2805	+
ENSSHAG00000031332	A:9997312-9998658	1347	+
ENSSHAG00000009872	A:9998659-9999996	1338	-
ENSSHAG00000022257	A:9999997-10002135	2139	+
ENSSHAG00000023250	A:10002136-10004040	1905	+
ENSSHAG00000010522	A:10004041-10005594	1554	+
ENSSHAG00000011587	A:10005595-10009704	4110	+
ENSSHAG00000011913	A:10009705-10016661	6957	-
ENSSHAG00000021577	A:10016662-10017042	381	+
ENSSHAG00000013138	A:10017043-10017609	567	-
ENSSHAG00000013263	A:10017610-10018107	498	-
ENSSHAG00000027324	A:10018108-10018371	264	-
ENSSHAG00000030743	A:10018372-10019679	1308	+
ENSSHAG00000027113	A:10019680-10020159	480	-
ENSSHAG00000014537	A:10020160-10021224	1065	-
ENSSHAG00000026607	A:10021225-10022952	1728	+
ENSSHAG00000023076	A:10022953-10023897	945	+
ENSSHAG00000001338	A:10023898-10026342	2445	+
ENSSHAG00000007914	A:10026343-10027347	1005	+
ENSSHAG00000009098	A:10027348-10029372	2025	+
ENSSHAG00000009707	A:10029373-10030113	741	-
ENSSHAG00000009815	A:10030114-10031058	945	+
ENSSHAG00000009926	A:10031059-10032156	1098	-
ENSSHAG00000022203	A:10032157-10032657	501	-
ENSSHAG00000011313	A:10032658-10036749	4092	+
ENSSHAG00000020683	A:10036750-10037313	564	-
ENSSHAG00000026473	A:10037314-10038375	1062	+
ENSSHAG00000012112	A:10038376-10039062	687	-
ENSSHAG00000027560	A:10039063-10040010	948	-
ENSSHAG00000012445	A:10040011-10040949	939	+
ENSSHAG00000012572	A:10040950-10048551	7602	-
ENSSHAG00000021843	A:10048552-10049787	1236	-
ENSSHAG00000012215	A:10049788-10052448	2661	-
ENSSHAG00000025722	A:10052449-10055574	3126	-
ENSSHAG00000005008	A:10055575-10057434	1860	+
ENSSHAG00000006715	A:10057435-10059057	1623	+
ENSSHAG00000022924	A:10059058-10059657	600	-
ENSSHAG00000021009	A:10059658-10060578	921	+
ENSSHAG00000003621	A:10060579-10062156	1578	+
ENSSHAG00000022157	A:10062157-10064304	2148	-
ENSSHAG00000028499	A:10064305-10065210	906	+
ENSSHAG00000002871	A:10065211-10066008	798	+
ENSSHAG00000003115	A:10066009-10067064	1056	-
ENSSHAG00000025450	A:10067065-10068984	1920	+
ENSSHAG00000031259	A:10068985-10069152	168	-
ENSSHAG00000000730	A:10069153-10070424	1272	+
ENSSHAG00000005935	A:10070425-10071771	1347	+
ENSSHAG00000031927	A:10071772-10074897	3126	-
ENSSHAG00000027619	A:10074898-10075383	486	-
ENSSHAG00000024075	A:10075384-10076595	1212	+
ENSSHAG00000007935	A:10076596-10077834	1239	+
ENSSHAG00000031482	A:10077835-10081167	3333	-
ENSSHAG00000008977	A:10081168-10081803	636	+
ENSSHAG00000009147	A:10081804-10082283	480	-
ENSSHAG00000020911	A:10082284-10082712	429	-
ENSSHAG00000003492	A:10082713-10084554	1842	+
ENSSHAG00000005877	A:10084555-10085286	732	+
ENSSHAG00000006301	A:10085287-10089381	4095	-
ENSSHAG00000001165	A:10089382-10090458	1077	+
ENSSHAG00000001610	A:10090459-10092873	2415	-
ENSSHAG00000006344	A:10092874-10094157	1284	+
ENSSHAG00000028094	A:10094158-10094826	669	+
ENSSHAG00000030949	A:10094827-10095444	618	-
ENSSHAG00000030216	A:10095445-10097538	2094	-
ENSSHAG00000005218	A:10097539-10100343	2805	-
ENSSHAG00000026411	A:10100344-10101573	1230	-
ENSSHAG00000027001	A:10101574-10102374	801	-
ENSSHAG00000002729	A:10102375-10107138	4764	-
ENSSHAG00000008600	A:10107139-10108617	1479	+
ENSSHAG00000008630	A:10108618-10116141	7524	-
ENSSHAG00000029315	A:10116142-10117176	1035	+
ENSSHAG00000006161	A:10117177-10118205	1029	-
ENSSHAG00000009469	A:10118206-10119252	1047	-
ENSSHAG00000006053	A:10119253-10121931	2679	+
ENSSHAG00000030666	A:10121932-10122267	336	+
ENSSHAG00000001780	A:10122268-10124454	2187	+
ENSSHAG00000000807	A:10124455-10124730	276	+
ENSSHAG00000026495	A:10124731-10126026	1296	+
ENSSHAG00000020874	A:10126027-10127001	975	+
ENSSHAG00000005211	A:10127002-10128006	1005	-
ENSSHAG00000005558	A:10128007-10129287	1281	-
ENSSHAG00000006262	A:10129288-10130487	1200	-
ENSSHAG00000002300	A:10130488-10131843	1356	-
ENSSHAG00000000457	A:10131844-10132254	411	+
ENSSHAG00000000466	A:10132255-10132665	411	+
ENSSHAG00000024941	A:10132666-10133076	411	+
ENSSHAG00000029628	A:10133077-10133430	354	+
ENSSHAG00000031263	A:10133431-10133844	414	+
ENSSHAG00000023080	A:10133845-10134264	420	+
ENSSHAG00000002490	A:10134265-10134681	417	+
ENSSHAG00000031274	A:10134682-10135098	417	+
ENSSHAG00000030048	A:10135099-10136031	933	-
ENSSHAG00000028625	A:10136032-10137249	1218	-
ENSSHAG00000003214	A:10137250-10140117	2868	+
ENSSHAG00000003743	A:10140118-10142445	2328	-
ENSSHAG00000024873	A:10142446-10143024	579	+
ENSSHAG00000003890	A:10143025-10144704	1680	+
ENSSHAG00000002053	A:10144705-10145853	1149	-
ENSSHAG00000000762	A:10145854-10149327	3474	-
ENSSHAG00000025205	A:10149328-10150158	831	-
ENSSHAG00000001967	A:10150159-10151061	903	-
ENSSHAG00000000671	A:10151062-10152573	1512	+
ENSSHAG00000023976	A:10152574-10153296	723	+
ENSSHAG00000004348	A:10153297-10154643	1347	-
ENSSHAG00000004793	A:10154644-10156383	1740	+
ENSSHAG00000005447	A:10156384-10157121	738	+
ENSSHAG00000024428	A:10157122-10157937	816	-
ENSSHAG00000005531	A:10157938-10158960	1023	+
ENSSHAG00000029995	A:10158961-10160586	1626	+
ENSSHAG00000001593	A:10160587-10162062	1476	-
ENSSHAG00000025817	A:10162063-10167150	5088	+
ENSSHAG00000003463	A:10167151-10168308	1158	+
ENSSHAG00000002822	A:10168309-10170603	2295	-
ENSSHAG00000023221	A:10170604-10171395	792	+
ENSSHAG00000030500	A:10171396-10172370	975	-
ENSSHAG00000010583	A:10172371-10174530	2160	-
ENSSHAG00000027376	A:10174531-10176834	2304	+
ENSSHAG00000021594	A:10176835-10178508	1674	-
ENSSHAG00000028346	A:10178509-10179069	561	+
ENSSHAG00000024987	A:10179070-10179780	711	-
ENSSHAG00000003599	A:10179781-10183767	3987	-
ENSSHAG00000031429	A:10183768-10184400	633	+
ENSSHAG00000000774	A:10184401-10186728	2328	-
ENSSHAG00000021863	A:10186729-10186881	153	+
ENSSHAG00000004257	A:10186882-10187679	798	-
ENSSHAG00000024004	A:10187680-10188462	783	-
ENSSHAG00000025701	A:10188463-10189770	1308	-
ENSSHAG00000013551	A:10189771-10193124	3354	+
ENSSHAG00000025814	A:10193125-10193952	828	+
ENSSHAG00000024116	A:10193953-10196502	2550	+
ENSSHAG00000011639	A:10196503-10198605	2103	-
ENSSHAG00000010101	A:10198606-10199700	1095	-
ENSSHAG00000001798	A:10199701-10200897	1197	+
ENSSHAG00000001249	A:10200898-10203432	2535	-
ENSSHAG00000003645	A:10203433-10205814	2382	-
ENSSHAG00000002347	A:10205815-10207956	2142	+
ENSSHAG00000004592	A:10207957-10209537	1581	-
ENSSHAG00000000250	A:10209538-10213272	3735	+
ENSSHAG00000003432	A:10213273-10214223	951	+
ENSSHAG00000023421	A:10214224-10215045	822	+
ENSSHAG00000021669	A:10215046-10215957	912	+
ENSSHAG00000001106	A:10215958-10217718	1761	+
ENSSHAG00000027953	A:10217719-10218768	1050	-
ENSSHAG00000029896	A:10218769-10219383	615	+
ENSSHAG00000001891	A:10219384-10220679	1296	+
ENSSHAG00000004450	A:10220680-10223265	2586	+
ENSSHAG00000029964	A:10223266-10223583	318	+
ENSSHAG00000006806	A:10223584-10225026	1443	-
ENSSHAG00000003846	A:10225027-10227042	2016	-
ENSSHAG00000021183	A:10227043-10227495	453	+
ENSSHAG00000027023	A:10227496-10227789	294	-
ENSSHAG00000028721	A:10227790-10228701	912	-
ENSSHAG00000032341	A:10228702-10228998	297	+
ENSSHAG00000006825	A:10228999-10229670	672	+
ENSSHAG00000009340	A:10229671-10231128	1458	+
ENSSHAG00000013488	A:10231129-10232046	918	+
ENSSHAG00000024193	A:10232047-10233252	1206	-
ENSSHAG00000025610	A:10233253-10234080	828	-
ENSSHAG00000014172	A:10234081-10235466	1386	-
ENSSHAG00000014408	A:10235467-10238931	3465	-
ENSSHAG00000014673	A:10238932-10239822	891	-
ENSSHAG00000014775	A:10239823-10243119	3297	-
ENSSHAG00000014991	A:10243120-10243713	594	+
ENSSHAG00000020756	A:10243714-10246230	2517	-
ENSSHAG00000023696	A:10246231-10246686	456	-
ENSSHAG00000016286	A:10246687-10248453	1767	+
ENSSHAG00000016632	A:10248454-10249380	927	+
ENSSHAG00000027320	A:10249381-10249869	489	+
ENSSHAG00000016841	A:10249870-10251396	1527	-
ENSSHAG00000017502	A:10251397-10252320	924	+
ENSSHAG00000023664	A:10252321-10253124	804	+
ENSSHAG00000025310	A:10253125-10255647	2523	+
ENSSHAG00000018710	A:10255648-10255962	315	+
ENSSHAG00000006253	A:10255963-10260819	4857	-
ENSSHAG00000003849	A:10260820-10264314	3495	-
ENSSHAG00000006580	A:10264315-10266066	1752	-
ENSSHAG00000007755	A:10266067-10268232	2166	-
ENSSHAG00000024165	A:10268233-10268700	468	-
ENSSHAG00000002885	A:10268701-10270437	1737	-
ENSSHAG00000029069	A:10270438-10271517	1080	-
ENSSHAG00000027627	A:10271518-10271844	327	+
ENSSHAG00000005332	A:10271845-10272945	1101	+
ENSSHAG00000021482	A:10272946-10274604	1659	+
ENSSHAG00000023817	A:10274605-10276284	1680	+
ENSSHAG00000009209	A:10276285-10277265	981	+
ENSSHAG00000028225	A:10277266-10277814	549	-
ENSSHAG00000010792	A:10277815-10281750	3936	+
ENSSHAG00000027514	A:10281751-10282182	432	+
ENSSHAG00000011952	A:10282183-10284621	2439	-
ENSSHAG00000012403	A:10284622-10285983	1362	-
ENSSHAG00000025314	A:10285984-10287534	1551	+
ENSSHAG00000012875	A:10287535-10288839	1305	-
ENSSHAG00000027678	A:10288840-10289085	246	+
ENSSHAG00000013151	A:10289086-10289316	231	+
ENSSHAG00000013198	A:10289317-10292814	3498	-
ENSSHAG00000027044	A:10292815-10293402	588	-
ENSSHAG00000013815	A:10293403-10295922	2520	+
ENSSHAG00000001671	A:10295923-10296945	1023	-
ENSSHAG00000031853	A:10296946-10307958	11013	+
ENSSHAG00000006062	A:10307959-10309464	1506	-
ENSSHAG00000006663	A:10309465-10314453	4989	-
ENSSHAG00000030413	A:10314454-10315824	1371	-
ENSSHAG00000008957	A:10315825-10317264	1440	+
ENSSHAG00000010175	A:10317265-10317798	534	-
ENSSHAG00000010303	A:10317799-10319169	1371	-
ENSSHAG00000010889	A:10319170-10323321	4152	-
ENSSHAG00000030269	A:10323322-10324020	699	+
ENSSHAG00000027215	A:10324021-10324482	462	-
ENSSHAG00000026217	A:10324483-10325478	996	+
ENSSHAG00000011581	A:10325479-10331664	6186	-
ENSSHAG00000012851	A:10331665-10333479	1815	-
ENSSHAG00000013742	A:10333480-10337967	4488	-
ENSSHAG00000014495	A:10337968-10338555	588	+
ENSSHAG00000014580	A:10338556-10338819	264	+
ENSSHAG00000015159	A:10338820-10342218	3399	+
ENSSHAG00000015314	A:10342219-10342974	756	-
ENSSHAG00000015422	A:10342975-10344012	1038	+
ENSSHAG00000015545	A:10344013-10345923	1911	-
ENSSHAG00000028665	A:10345924-10346649	726	-
ENSSHAG00000028616	A:10346650-10348356	1707	+
ENSSHAG00000029389	A:10348357-10349223	867	-
ENSSHAG00000016459	A:10349224-10350366	1143	+
ENSSHAG00000016567	A:10350367-10352790	2424	-
ENSSHAG00000017066	A:10352791-10354083	1293	-
ENSSHAG00000001873	A:10354084-10354494	411	-
ENSSHAG00000029726	A:10354495-10356150	1656	-
ENSSHAG00000001823	A:10356151-10358604	2454	-
ENSSHAG00000028259	A:10358605-10359021	417	+
ENSSHAG00000022704	A:10359022-10359438	417	+
ENSSHAG00000006579	A:10359439-10364574	5136	+
ENSSHAG00000008188	A:10364575-10366038	1464	-
ENSSHAG00000009189	A:10366039-10367739	1701	-
ENSSHAG00000005101	A:10367740-10369260	1521	-
ENSSHAG00000028717	A:10369261-10370166	906	+
ENSSHAG00000006435	A:10370167-10374453	4287	-
ENSSHAG00000023361	A:10374454-10375083	630	+
ENSSHAG00000007834	A:10375084-10378050	2967	-
ENSSHAG00000002286	A:10378051-10379307	1257	+
ENSSHAG00000004795	A:10379308-10381080	1773	-
ENSSHAG00000007999	A:10381081-10383273	2193	+
ENSSHAG00000021394	A:10383274-10384143	870	+
ENSSHAG00000008695	A:10384144-10398090	13947	-
ENSSHAG00000009694	A:10398091-10399704	1614	-
ENSSHAG00000009040	A:10399705-10400856	1152	-
ENSSHAG00000012291	A:10400857-10402887	2031	+
ENSSHAG00000023247	A:10402888-10403592	705	-
ENSSHAG00000012644	A:10403593-10404657	1065	-
ENSSHAG00000013829	A:10404658-10406085	1428	+
ENSSHAG00000014079	A:10406086-10406970	885	-
ENSSHAG00000023600	A:10406971-10407867	897	+
ENSSHAG00000014750	A:10407868-10409199	1332	-
ENSSHAG00000015250	A:10409200-10410168	969	+
ENSSHAG00000015325	A:10410169-10411434	1266	-
ENSSHAG00000015922	A:10411435-10414029	2595	-
ENSSHAG00000000400	A:10414030-10415661	1632	-
ENSSHAG00000030088	A:10415662-10418094	2433	-
ENSSHAG00000026229	A:10418095-10419375	1281	+
ENSSHAG00000004889	A:10419376-10421118	1743	-
ENSSHAG00000006008	A:10421119-10422924	1806	+
ENSSHAG00000027827	A:10422925-10425576	2652	+
ENSSHAG00000013341	A:10425577-10426788	1212	-
ENSSHAG00000015211	A:10426789-10429020	2232	-
ENSSHAG00000002120	A:10429021-10431198	2178	-
ENSSHAG00000023023	A:10431199-10431813	615	-
ENSSHAG00000003861	A:10431814-10438035	6222	+
ENSSHAG00000005912	A:10438036-10439043	1008	-
ENSSHAG00000027941	A:10439044-10440153	1110	-
ENSSHAG00000031606	A:10440154-10440930	777	-
ENSSHAG00000008327	A:10440931-10441398	468	-
ENSSHAG00000008639	A:10441399-10444320	2922	+
ENSSHAG00000010998	A:10444321-10447335	3015	+
ENSSHAG00000012077	A:10447336-10453104	5769	+
ENSSHAG00000022839	A:10453105-10453854	750	+
ENSSHAG00000000608	A:10453855-10455180	1326	-
ENSSHAG00000003499	A:10455181-10456491	1311	-
ENSSHAG00000004325	A:10456492-10457730	1239	+
ENSSHAG00000005795	A:10457731-10458987	1257	+
ENSSHAG00000006226	A:10458988-10460241	1254	+
ENSSHAG00000006629	A:10460242-10461504	1263	+
ENSSHAG00000007409	A:10461505-10462770	1266	+
ENSSHAG00000008524	A:10462771-10464267	1497	+
ENSSHAG00000008780	A:10464268-10465944	1677	+
ENSSHAG00000008940	A:10465945-10468806	2862	-
ENSSHAG00000010212	A:10468807-10469928	1122	+
ENSSHAG00000023158	A:10469929-10470582	654	-
ENSSHAG00000010623	A:10470583-10474623	4041	-
ENSSHAG00000010801	A:10474624-10477317	2694	+
ENSSHAG00000010848	A:10477318-10479102	1785	-
ENSSHAG00000011362	A:10479103-10480257	1155	-
ENSSHAG00000028829	A:10480258-10480857	600	+
ENSSHAG00000011820	A:10480858-10486671	5814	+
ENSSHAG00000024256	A:10486672-10487121	450	+
ENSSHAG00000020469	A:10487122-10488705	1584	+
ENSSHAG00000027637	A:10488706-10490169	1464	-
ENSSHAG00000012854	A:10490170-10492383	2214	-
ENSSHAG00000004366	A:10492384-10495098	2715	+
ENSSHAG00000022644	A:10495099-10496739	1641	-
ENSSHAG00000006484	A:10496740-10498119	1380	-
ENSSHAG00000022049	A:10498120-10500816	2697	+
ENSSHAG00000010331	A:10500817-10501188	372	+
ENSSHAG00000010598	A:10501189-10502982	1794	-
ENSSHAG00000021120	A:10502983-10503558	576	-
ENSSHAG00000027756	A:10503559-10506606	3048	-
ENSSHAG00000010793	A:10506607-10507221	615	-
ENSSHAG00000010946	A:10507222-10508298	1077	-
ENSSHAG00000011155	A:10508299-10509018	720	-
ENSSHAG00000011318	A:10509019-10510161	1143	-
ENSSHAG00000029395	A:10510162-10510512	351	+
ENSSHAG00000012293	A:10510513-10511370	858	+
ENSSHAG00000013496	A:10511371-10513851	2481	+
ENSSHAG00000013720	A:10513852-10516323	2472	-
ENSSHAG00000026534	A:10516324-10517265	942	+
ENSSHAG00000021280	A:10517266-10517541	276	+
ENSSHAG00000030589	A:10517542-10518075	534	-
ENSSHAG00000015758	A:10518076-10518705	630	-
ENSSHAG00000015856	A:10518706-10521564	2859	+
ENSSHAG00000016083	A:10521565-10528722	7158	+
ENSSHAG00000022743	A:10528723-10529007	285	+
ENSSHAG00000016315	A:10529008-10529673	666	-
ENSSHAG00000032009	A:10529674-10531152	1479	-
ENSSHAG00000023193	A:10531153-10532112	960	+
ENSSHAG00000016390	A:10532113-10533264	1152	-
ENSSHAG00000016414	A:10533265-10534788	1524	+
ENSSHAG00000028938	A:10534789-10535088	300	-
ENSSHAG00000016432	A:10535089-10536759	1671	+
ENSSHAG00000022565	A:10536760-10537983	1224	+
ENSSHAG00000027068	A:10537984-10539522	1539	-
ENSSHAG00000016503	A:10539523-10541064	1542	+
ENSSHAG00000031663	A:10541065-10543647	2583	+
ENSSHAG00000032119	A:10543648-10546665	3018	+
ENSSHAG00000028572	A:10546666-10549044	2379	+
ENSSHAG00000025775	A:10549045-10551384	2340	+
ENSSHAG00000021552	A:10551385-10553820	2436	+
ENSSHAG00000007367	A:10553821-10556280	2460	+
ENSSHAG00000025529	A:10556281-10558668	2388	+
ENSSHAG00000025105	A:10558669-10561050	2382	+
ENSSHAG00000031231	A:10561051-10563414	2364	+
ENSSHAG00000008137	A:10563415-10565775	2361	+
ENSSHAG00000027016	A:10565776-10568145	2370	+
ENSSHAG00000027052	A:10568146-10570587	2442	+
ENSSHAG00000022185	A:10570588-10572885	2298	+
ENSSHAG00000008675	A:10572886-10575258	2373	+
ENSSHAG00000009569	A:10575259-10577832	2574	+
ENSSHAG00000029672	A:10577833-10580673	2841	+
ENSSHAG00000010517	A:10580674-10584021	3348	-
